id,ok,ko,mitige
"100",25,72,9
"101",242,32,22
"102",102,31,42
"103",231,563,91
"104",522,27,23
"105",22,49,9
"106",203,84,47
"107",76,24,11
"108",246,15,17
"109",182,24,16
"110",268,97,51
"111",144,14,32
"112",101,64,35
"113",495,32,45
"114",118,5,17
"115",1817,44,58
"116",16,30,11
"118",179,4,9
"119",106,5,8
"120",105,158,46
"121",103,5,14
"122",31,13,15
"123",321,3,9
"124",114,0,0
"125",9,11,32
"126",484,8,6
"127",50,16,3
"128",112,7,9
"129",146,6,14
"130",89,42,17
"131",331,31,45
"132",402,50,40
"133",41,149,60
"134",185,8,10
"135",77,3,0
"136",168,0,0
"137",237,44,44
"138",225,12,11
"139",96,31,54
"140",2,24,2
"141",131,8,10
"142",28,15,20
"143",20,15,3
"144",189,3,11
"145",23,11,15
"146",75,12,11
"147",381,32,10
"148",159,13,12
"149",58,2,2
"150",99,314,64
"151",48,7,11
"152",2540,61,65
"153",6,63,12
"154",1,21,2
"155",234,1,8
"158",246,6,17
"159",34,1,7
"160",36,20,12
"161",21,3,2
"162",226,36,32
"164",8,11,9
"165",96,7,5
"166",161,9,15
"167",147,4,5
"168",75,5,11
"169",60,12,5
"170",27,133,13
"171",79,2,2
"172",156,18,15
"173",16,2,2
"174",25,5,4
"175",59,11,9
"176",89,40,15
"177",1691,32,31
"178",8,0,1
"179",11,1,1
"180",26,5,3
"181",125,39,16
"182",123,49,26
"183",221,8,12
"184",13,7,8
"185",28,64,10
"186",66,2,4
"187",124,3,7
"188",26,1,3
"189",39,6,6
"190",18,5,10
"191",5,10,2
"192",3,3,3
"193",15,19,5
"194",175,9,8
"195",514,65,41
"196",184,7,25
"197",75,1,3
"198",321,262,9
"199",64,8,2
"200",17,1,0
"201",25,0,1
"202",15,7,7
"204",13,8,9
"205",32,1,6
"206",31,5,12
"207",14,65,5
"208",137,18,23
"209",12,6,2
"210",11,1,6
"211",14,0,1
"212",28,11,5
"213",6,10,12
"214",2,0,3
"215",24,22,17
"216",18,3,16
"217",13,0,1
"218",5,0,0
"220",144,7,6
"221",16,58,10
"222",0,13,7
"223",18,1,5
"224",30,3,2
"225",4,0,5
"226",71,1,1
"227",3,33,6
"228",28,1,1
"229",15,2,6
"230",7,2,1
"231",24,3,7
"232",12,7,3
"233",24,0,0
"234",68,2,0
"235",2,12,4
"236",14,1,2
"237",23,3,6
"238",13,3,1
"239",113,10,6
"240",25,0,0
"241",45,1,5
"242",9,8,3
"243",78,5,0
"244",64,12,5
"245",72,17,27
"247",10,1,1
"249",12,0,1
"250",81,2,10
"251",63,10,3
"252",10,5,8
"253",17,0,3
"254",31,2,5
"255",9,12,6
"256",5,0,0
"257",11,28,17
"258",8,14,9
"259",26,1,3
"260",50,7,4
"261",64,0,1
"262",9,3,0
"263",3,7,7
"264",8,4,0
"265",1824,1403,68
"266",21,72,10
"267",19,6,5
"268",48,0,0
"269",65,0,1
"270",37,0,2
"271",121,5,6
"272",73,0,3
"273",77,1,7
"274",4,0,4
"275",18,1,0
"276",17,3,5
"277",103,6,3
"278",9,2,2
"279",13,0,2
"280",30,10,1
"281",14,1,0
"282",10,2,2
"283",17,0,5
"285",4,2,2
"286",17,4,3
"287",20,0,0
"288",4,3,0
"289",69,3,11
"290",0,20,0
"291",5,30,2
"292",11,21,3
"293",5,4,2
"294",24,18,12
"295",9,2,2
"296",6,2,0
"297",18,2,6
"298",11,5,9
"299",4,25,5
"300",12,7,7
"301",14,1,0
"302",47,2,3
"303",8,3,2
"304",22,0,0
"305",13,4,2
"306",24,5,5
"307",151,8,6
"308",37,3,2
"309",23,0,2
"310",3,6,7
"311",16,12,1
"312",2,0,5
"313",9,1,1
"314",6,1,2
"315",8,2,3
"316",22,1,2
"317",13,3,2
"318",25,0,1
"319",1,6,11
"320",9,21,7
"321",47,0,2
"322",1,1,4
"323",21,15,4
"324",13,2,3
"325",6,0,1
"326",11,3,3
"327",49,1,2
"328",0,2,3
"329",28,1,2
"330",7,5,2
"331",63,2,4
"332",4,34,2
"333",55,3,3
"334",2,6,3
"335",7,3,6
"336",26,1,0
"337",12,6,3
"338",11,1,1
"340",21,0,0
"341",7,2,3
"342",42,0,3
"343",1,2,1
"344",9,2,2
"345",54,3,2
"346",20,1,1
"347",37,5,1
"348",7,0,3
"350",8,3,2
"351",31,2,3
"352",9,17,8
"353",65,5,0
"354",8,1,2
"355",6,3,4
"356",8,3,6
"357",12,2,2
"358",14,2,8
"359",9,14,4
"360",12,1,2
"361",11,0,2
"363",22,3,1
"364",90,4,4
"365",39,1,3
"366",16,19,7
"367",20,5,3
"368",38,4,8
"369",131,4,1
"370",6,1,2
"371",14,3,7
"372",12,1,3
"373",12,4,2
"374",3,7,0
"375",2,0,7
"376",10,1,0
"377",8,7,4
"378",65,5,7
"379",42,1,1
"381",1,2,9
"382",1,7,0
"383",3,2,1
"384",19,1,1
"385",14,4,5
"386",6,3,1
"387",17,3,2
"388",2,50,3
"389",1885,18,18
"390",0,15,4
"391",9,0,2
"392",1973,5,27
"393",2051,3,26
"394",503,19,7
"395",381,17,3
"396",36,3,2
"397",4,1,0
"399",7,0,2
"400",1,2,1
"401",12,9,5
"402",1,25,2
"403",2,0,3
"404",7,7,3
"405",2,5,0
"406",0,6,0
"407",9,14,7
"408",7,1,0
"409",14,2,1
"410",11,1,3
"411",34,0,0
"412",8,2,2
"413",5,1,0
"414",6,2,0
"415",5,0,3
"416",14,1,1
"417",822,12,5
"418",6,2,2
"419",2,0,2
"420",8,1,1
"421",6,0,1
"422",7,0,0
"423",156,3,1
"424",78,2,0
"425",762,52,131
"426",154,8,12
"427",117,25,11
"428",10,0,1
"429",5,0,4
"430",220,0,5
"431",200,0,2
"432",394,9,7
"433",280,20,2
"434",1,0,2
"435",176,3,7
"436",20,1,0
"437",43,2,4
"438",61,2,1
"439",7,2,0
"440",6,7,3
"441",13,0,0
"442",8,0,0
"443",2,3,2
"444",21,2,1
"445",8,17,1
"446",25,0,0
"447",7,1,2
"448",7,1,0
"449",8,0,0
"450",829,2,7
"451",4,1,3
"452",210,12,5
"453",8,1,0
"454",4,4,1
"455",24,2,1
"456",31,6,2
"457",6,1,5
"458",0,3,1
"459",14,1,1
"460",17,3,1
"461",4,6,0
"462",3,3,1
"463",5,3,5
"464",2,1,1
"465",30,0,0
"466",0,3,3
"468",3,0,0
"469",16,3,1
"470",19,10,7
"471",28,4,4
"472",1,1,1
"474",10,17,2
"475",19,2,1
"476",15,18,1
"477",15,17,2
"478",0,2,1
"479",0,8,2
"481",1850,3,4
"482",6,0,2
"483",5,0,0
"484",14,0,0
"485",7,40,4
"486",10,1,3
"488",8,2,2
"489",4,0,0
"490",4,1,1
"491",12,2,0
"493",117,7,3
"494",260,5,9
"495",8,1,0
"496",13,17,2
"497",7,0,10
"498",7,43,4
"499",12,3,0
"500",9,2,2
"501",3,18,1
"502",3,6,0
"503",17,6,1
"504",14,4,8
"505",11,1,0
"506",7,4,3
"507",17,13,0
"508",14,4,1
"509",3,2,1
"510",18,1,2
"511",23,0,2
"512",9,2,3
"513",2321,3,3
"514",7,16,0
"515",12,18,2
"516",7,0,0
"517",3,1,0
"518",16,0,0
"519",7,0,1
"520",20,1,2
"521",8,0,0
"522",29,0,0
"523",2,1,3
"524",3,2,1
"525",7,1,1
"526",9,0,0
"527",13,1,0
"528",21,1,2
"529",10,0,0
"530",15,12,7
"532",5,0,1
"533",3,1,0
"534",3,1,2
"535",9,0,0
"537",7,0,4
"538",5,17,3
"539",8,3,1
"540",9,1,7
"541",17,1,2
"542",21,0,0
"543",3,4,1
"544",8,1,0
"545",373,0,12
"546",385,0,3
"547",387,0,7
"548",6,10,7
"549",17,0,1
"550",55,0,1
"551",51,0,0
"552",54,0,1
"553",49,0,0
"554",47,1,4
"555",72,1,2
"556",388,5,3
"557",403,0,4
"558",415,0,0
"559",0,6,0
"560",6,3,9
"561",200,2,5
"562",120,6,13
"563",25,1,0
"564",8,0,0
"565",12,2,2
"566",8,0,1
"567",30,1,3
"568",0,3,0
"569",6,0,4
"570",3,0,0
"571",7,0,0
"572",4,0,0
"573",15,18,5
"574",3,1,1
"576",2,0,0
"577",3,2,3
"578",7,1,2
"579",7,0,2
"580",3,0,0
"581",2,0,2
"582",4,0,3
"583",10,0,0
"584",1,0,1
"585",58,0,0
"587",101,4,2
"588",8,0,2
"589",6,3,2
"590",9,0,0
"591",14,0,1
"592",4,0,2
"593",6,0,0
"594",7,0,1
"595",18,0,1
"596",8,0,0
"597",10,0,0
"598",6,4,3
"599",6,0,0
"600",4,1,2
"601",0,2,5
"602",14,0,2
"603",1,10,2
"604",56,0,0
"605",2,2,2
"606",14,1,1
"607",4,0,4
"608",4,0,0
"609",6,0,2
"610",12,1,2
"611",7,0,0
"612",20,0,2
"613",18,0,2
"614",15,0,1
"615",6,0,0
"616",5,0,0
"617",5,0,0
"618",9,1,4
"619",4,0,0
"61",2237,49,161
"620",12,1,3
"621",4,1,3
"622",3,0,1
"623",5,0,0
"624",11,0,0
"625",12,0,1
"626",9,15,3
"627",5,0,2
"628",1,0,1
"629",18,0,1
"62",1124,62,132
"630",4,13,1
"631",2,1,1
"632",1,3,1
"633",7,0,0
"634",6,0,2
"635",95,1,1
"636",88,2,0
"637",88,1,0
"638",83,1,2
"639",119,2,2
"63",690,162,254
"640",98,0,3
"641",107,1,0
"642",50,5,12
"643",24,2,0
"644",0,5,5
"645",8,1,2
"646",4,0,0
"648",5,0,0
"649",11,2,1
"64",797,29,66
"650",10,0,0
"651",149,0,2
"652",156,0,3
"653",1,0,1
"654",5,0,0
"655",0,0,4
"656",1,1,1
"657",24,3,0
"658",3,0,1
"659",2,0,1
"65",606,19,33
"660",3,0,0
"661",9,5,2
"662",6,1,2
"663",3,0,0
"664",3,0,1
"665",2,15,2
"666",8,1,0
"667",12,3,4
"668",2,1,2
"669",7,0,0
"66",736,12,29
"670",1,3,2
"671",1,1,0
"672",16,1,2
"673",4055,24,20
"674",10,0,0
"675",8,1,2
"676",4,0,0
"677",6,0,1
"678",3,0,0
"679",6,1,1
"67",369,221,210
"680",6,1,0
"681",9,3,0
"682",4,0,2
"683",4,0,3
"684",3,1,1
"685",2,0,0
"686",6,0,1
"687",0,1,1
"688",1,2,2
"689",8,0,1
"68",655,83,84
"690",2,1,0
"691",8,0,0
"693",2,0,1
"694",1,0,0
"695",0,4,0
"696",7,7,2
"697",0,1,1
"698",8,1,1
"699",1,1,0
"69",1320,1732,282
"700",4,0,0
"701",1,1,1
"702",1,1,2
"703",2,1,1
"704",2,1,0
"705",3,10,3
"706",4,1,0
"707",4,0,0
"708",2,1,1
"709",2,1,1
"70",410,195,101
"710",8,0,0
"711",1,3,0
"712",4,0,0
"713",1,0,1
"714",0,0,3
"715",4,0,1
"716",1,2,1
"717",4,1,0
"718",10,2,0
"719",3,0,1
"71",1370,11,45
"720",1,0,0
"721",5,3,1
"722",3,0,1
"723",0,1,1
"724",3,0,0
"725",1,0,0
"726",1,0,0
"727",1,0,0
"728",1,0,0
"729",1,0,0
"72",704,32,60
"730",1,0,0
"731",1,0,0
"732",3,0,0
"733",1,0,0
"734",1,0,0
"735",1,0,0
"736",3,0,0
"737",1,1,1
"738",2,0,1
"739",3,1,1
"73",606,9,54
"740",2,1,0
"741",3,0,0
"742",0,0,0
"743",2,0,0
"744",1,0,0
"745",1,0,0
"746",2,0,1
"747",2,0,0
"748",1,1,0
"749",0,0,1
"74",264,23,92
"750",2,0,0
"751",2,0,0
"752",1,0,0
"753",4,0,0
"754",1,0,0
"755",0,0,1
"756",4,0,0
"757",7,0,0
"758",1,1,0
"759",1,0,0
"75",421,18,49
"760",2,0,0
"761",3,0,0
"762",0,0,0
"763",3,0,0
"764",1,0,0
"765",1,0,0
"766",0,0,1
"767",1,0,0
"768",1,0,0
"769",0,0,0
"76",693,12,28
"770",0,0,0
"771",1,0,0
"772",1,0,0
"773",1,0,0
"774",0,0,0
"775",1,0,0
"776",0,0,0
"777",0,0,0
"778",1,0,0
"779",1,0,0
"77",428,24,43
"780",0,0,0
"781",1,0,0
"782",1,0,0
"78",230,20,74
"79",427,44,90
"80",563,17,45
"81",170,6,11
"82",793,19,41
"83",317,18,33
"84",375,5,6
"85",145,15,66
"86",335,17,40
"87",712,523,145
"88",448,18,32
"89",286,47,75
"90",684,80,69
"91",189,146,191
"93",735,3,12
"94",960,12,25
"95",250,13,12
"96",8,156,8
"97",90,12,13
"98",248,3,9
"99",80,19,13
